timestamp_us,ax,ay,az,qw,qx,qy,qz,vx,vy,px,py
1776792.7375977694,1.95,-2.68,7.97,0.0,1.95,-2.68,7.97,0.06369700220413503,0.06037229100242274,0.0030958676749671898,0.006676285839700361
1776792.7376107504,-0.46,1.8,13.06,0.0,-0.46,1.8,13.06,0.06369103094097224,0.06039565681479888,0.003096694448677751,0.006677069836136733
1776792.7376237449,-0.42,-0.96,5.05,0.0,-0.42,-0.96,5.05,0.06368557324633,0.06038318208418803,0.003097522011563215,0.006677854486063739
1776792.7376377375,0.65,2.14,14.29,0.0,0.65,2.14,14.29,0.06369466847274449,0.060413126368075776,0.0030984132691496092,0.00667869982616024
1776792.7376527153,3.75,0.57,8.31,0.0,3.75,0.57,8.31,0.06375083508202803,0.060421663692686874,0.00309936811401509,0.00667960480748741
1776792.7376657424,-1.04,0.73,19.27,0.0,-1.04,0.73,19.27,0.06373728689039122,0.06043117348104732,0.0031001984264931674,0.0066803920508712155
1776792.737678722,-0.11,1.15,2.95,0.0,-0.11,1.15,2.95,0.06373585913330312,0.06044610003242286,0.003101025693080835,0.006681176617669115
1776792.7376937347,0.0,-1.0,13.1,0.0,0.0,-1.0,13.1,0.06373585913330312,0.0604310873453507,0.0031019825395892783,0.006682083850672861
1776792.7377077346,1.99,1.27,12.98,0.0,1.99,1.27,12.98,0.06376371888210994,0.06044886718504148,0.003102875223604878,0.006682930127183128
1776792.7377207482,-1.68,-3.33,17.24,0.0,-1.68,-3.33,17.24,0.06374185602879148,0.060405531886499546,0.0031037047348242844,0.006683716220804115
1776792.7377337315,0.84,1.15,5.9,0.0,0.84,1.15,5.9,0.06375276203034443,0.060420462721958924,0.003104532458302507,0.006684500679923489
1776792.7377487414,0.54,-1.99,10.73,0.0,0.54,-1.99,10.73,0.06376086737262082,0.0603905930346811,0.0031054895021060164,0.006685407136269453
1776792.737762766,-0.34,-1.72,15.29,0.0,-0.34,-1.72,15.29,0.06375609902432186,0.060366470802109856,0.0031063836529481676,0.0066862537490881705
1776792.7377757519,-0.46,-0.69,8.73,0.0,-0.46,-0.69,8.73,0.06375012551201505,0.06035751053364964,0.0031072115054683997,0.0066870375454620426
1776792.7377887277,2.72,0.42,4.6,0.0,2.72,0.42,4.6,0.06378541991813105,0.06036296040518226,0.0031080391777165138,0.006687820808270463
1776792.7378037332,1.46,-3.6,9.39,0.0,1.46,-3.6,9.39,0.06380732790334147,0.06030894071562233,0.003108996636617899,0.006688725772230226
1776792.737817768,-2.45,-1.76,11.95,0.0,-2.45,-1.76,11.95,0.06377294264733788,0.060284239470493224,0.0031098916770093406,0.006689571849376012
1776792.7378317348,0.8,-0.27,6.47,0.0,0.8,-0.27,6.47,0.06378411609679457,0.06028046843130159,0.0031107825377560245,0.006690413775335066
1776792.737844573,3.1,1.11,7.01,0.0,3.1,1.11,7.01,0.0638239147700369,0.06029471892397868,0.0031116019271524692,0.0066911878559210965
1776792.7378587252,3.91,2.61,16.47,0.0,3.91,2.61,16.47,0.06387924965703858,0.060331656022463175,0.003112505955556951,0.006692041678266014
1776792.7378727435,-0.77,-1.72,6.09,0.0,-0.77,-1.72,6.09,0.06386845559114587,0.060307544602547024,0.0031134012806454127,0.006692887085552075
1776792.7378867439,2.3,-1.46,5.48,0.0,2.3,-1.46,5.48,0.06390065637184304,0.06028710410697404,0.0031142959115246453,0.006693731125473038
1776792.7378995798,-0.88,-0.54,9.27,0.0,-0.88,-0.54,9.27,0.06388936073286457,0.06028017269214634,0.003115115992380787,0.006694504878959732
1776792.737913763,-0.61,1.61,18.85,0.0,-0.61,1.61,18.85,0.06388070903485639,0.06030300750164334,0.003116022019599013,0.006695360163238239
1776792.7379277276,-0.15,1.38,5.36,0.0,-0.15,1.38,5.36,0.06387861432740463,0.06032227881019953,0.0031169140663286116,0.0066962025467511115
1776792.7379417536,1.88,-0.61,7.2,0.0,1.88,-0.61,7.2,0.06390498311491681,0.06031372298020888,0.003117810394477934,0.006697048504062459
1776792.737954591,-0.73,0.61,7.7,0.0,-0.73,0.61,7.7,0.06389561184914781,0.060321553763933666,0.0031186306448342514,0.006697822872982899
1776792.7379687997,2.37,0.42,13.56,0.0,2.37,0.42,13.56,0.06392928652232512,0.060327521427534704,0.0031195389983490604,0.006698680050015671
1776792.7379827679,-0.61,-0.23,4.1,0.0,-0.61,-0.23,4.1,0.06392076591495423,0.06032430873950962,0.0031204318569543186,0.006699522672556145
1776792.7381578728,1.57,-1.8,12.91,0.0,1.57,-1.8,12.91,0.06419568067416546,0.060009119843598656,0.0031316728379065096,0.006710030566016196
1776792.7383355228,-0.88,1.53,12.79,0.0,-0.88,1.53,12.79,0.06403934866189955,0.06028092436492463,0.0031430494290889117,0.006720739473069853
1776792.7384633624,-1.8,-0.88,11.07,0.0,-1.8,-0.88,11.07,0.06380923734046516,0.06016842549666782,0.003151206777935653,0.006728431381903
1776792.7387286883,0.23,-0.11,6.36,0.0,0.23,-0.11,6.36,0.06387026229407636,0.06013923964928856,0.0031681532118210047,0.006744387878902175
1776792.738908714,1.0,0.57,14.29,0.0,1.0,0.57,14.29,0.0640502878790721,0.06024185423273613,0.0031796839023655807,0.006755232953951652
